题号,题目名称,难度,分类,所属文档,Rust代码,Python代码,Go代码,Lean证明,是否有形式化证明
435,Non-overlapping Intervals,中等,数组/贪心/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/07-贪心算法.md,examples/algorithms/src/leetcode/lc0435_non_overlapping_intervals.rs,examples/algorithms-python/src/leetcode/lc0435_non_overlapping_intervals.py,examples/algorithms-go/leetcode/lc0435_non_overlapping_intervals.go,,否
455,Assign Cookies,简单,贪心/排序,docs/13-LeetCode算法面试专题/02-算法范式专题/07-贪心算法.md,examples/algorithms/src/leetcode/lc0455_assign_cookies.rs,examples/algorithms-python/src/leetcode/lc0455_assign_cookies.py,examples/algorithms-go/leetcode/lc0455_assign_cookies.go,,否
470,Implement Rand10() Using Rand7(),中等,数学/概率/随机,docs/13-LeetCode算法面试专题/03-数学专题/04-概率与随机算法面试题.md,examples/algorithms/src/leetcode/lc0470_rand10_using_rand7.rs,examples/algorithms-python/src/leetcode/lc0470_rand10_using_rand7.py,examples/algorithms-go/leetcode/lc0470_rand10_using_rand7.go,,否
516,Longest Palindromic Subsequence,中等,字符串/动态规划,docs/13-LeetCode算法面试专题/04-字符串专题/02-回文问题.md,examples/algorithms/src/leetcode/lc0516_longest_palindromic_subsequence.rs,examples/algorithms-python/src/leetcode/lc0516_longest_palindromic_subsequence.py,examples/algorithms-go/leetcode/lc0516_longest_palindromic_subsequence.go,,否
523,Continuous Subarray Sum,中等,数组/哈希表/数学,docs/13-LeetCode算法面试专题/02-算法范式专题/04-前缀和与差分.md,examples/algorithms/src/leetcode/lc0523_continuous_subarray_sum.rs,examples/algorithms-python/src/leetcode/lc0523_continuous_subarray_sum.py,examples/algorithms-go/leetcode/lc0523_continuous_subarray_sum.go,,否
560,Subarray Sum Equals K,中等,数组/哈希表/前缀和,docs/13-LeetCode算法面试专题/02-算法范式专题/04-前缀和与差分.md,examples/algorithms/src/leetcode/lc0560_subarray_sum_equals_k.rs,examples/algorithms-python/src/leetcode/lc0560_subarray_sum_equals_k.py,examples/algorithms-go/leetcode/lc0560_subarray_sum_equals_k.go,,否
583,Delete Operation for Two Strings,中等,字符串/动态规划,docs/13-LeetCode算法面试专题/04-字符串专题/03-字符串动态规划.md,examples/algorithms/src/leetcode/lc0583_delete_operation_for_two_strings.rs,examples/algorithms-python/src/leetcode/lc0583_delete_operation_for_two_strings.py,examples/algorithms-go/leetcode/lc0583_delete_operation_for_two_strings.go,,否
587,Erect the Fence,困难,数学/计算几何/凸包,docs/13-LeetCode算法面试专题/03-数学专题/03-计算几何基础.md,examples/algorithms/src/leetcode/lc0587_erect_the_fence.rs,examples/algorithms-python/src/leetcode/lc0587_erect_the_fence.py,examples/algorithms-go/leetcode/lc0587_erect_the_fence.go,,否
647,Palindromic Substrings,中等,字符串/动态规划/中心扩展,docs/13-LeetCode算法面试专题/04-字符串专题/02-回文问题.md,,examples/algorithms-python/src/leetcode/lc0647_palindromic_substrings.py,examples/algorithms-go/leetcode/lc0647_palindromic_substrings.go,,否
704,Binary Search,简单,数组/二分查找,docs/13-LeetCode算法面试专题/02-算法范式专题/05-二分查找.md,examples/algorithms/src/leetcode/lc0704_binary_search.rs,examples/algorithms-python/src/leetcode/lc0704_binary_search.py,examples/algorithms-go/leetcode/lc0704_binary_search.go;examples/algorithms-go/leetcode/lc0704_binary_search_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0704_binary_search.lean,是
743,Network Delay Time,中等,图/Dijkstra/最短路径,docs/13-LeetCode算法面试专题/05-图论专题/02-最短路径（Dijkstra-Bellman-Ford-SPFA）.md,examples/algorithms/src/leetcode/lc0743_network_delay_time.rs,examples/algorithms-python/src/leetcode/lc0743_network_delay_time.py,examples/algorithms-go/leetcode/lc0743_network_delay_time.go,,否
787,Cheapest Flights Within K Stops,中等,图/动态规划/最短路径,docs/13-LeetCode算法面试专题/05-图论专题/02-最短路径（Dijkstra-Bellman-Ford-SPFA）.md,examples/algorithms/src/leetcode/lc0787_cheapest_flights_within_k_stops.rs,examples/algorithms-python/src/leetcode/lc0787_cheapest_flights_within_k_stops.py,,,否
912,Sort an Array,中等,数组/排序/分治,docs/13-LeetCode算法面试专题/02-算法范式专题/06-分治.md,examples/algorithms/src/leetcode/lc0912_sort_an_array.rs,examples/algorithms-python/src/leetcode/lc0912_sort_an_array.py,examples/algorithms-go/leetcode/lc0912_sort_an_array.go,,否
994,Rotting Oranges,中等,BFS,docs/13-LeetCode算法面试专题/02-算法范式专题/10-BFS与图搜索.md,examples/algorithms/src/leetcode/lc0994_rotting_oranges.rs;examples/algorithms-rust/src/leetcode/lc0994_rotting_oranges.rs,examples/algorithms-python/leetcode/lc0994_rotting_oranges.py;examples/algorithms-python/src/leetcode/lc0994_rotting_oranges.py,examples/algorithms-go/leetcode/lc0994_rotting_oranges.go,,否
1143,Longest Common Subsequence,中等,字符串/动态规划,docs/13-LeetCode算法面试专题/04-字符串专题/03-字符串动态规划.md,examples/algorithms/src/leetcode/lc1143_longest_common_subsequence.rs,examples/algorithms-python/src/leetcode/lc1143_longest_common_subsequence.py,examples/algorithms-go/leetcode/lc1143_longest_common_subsequence.go,,否
1584,Min Cost to Connect All Points,中等,图/最小生成树/Prim/Kruskal,docs/13-LeetCode算法面试专题/05-图论专题/04-最小生成树（Prim-Kruskal）.md,examples/algorithms/src/leetcode/lc1584_min_cost_to_connect_all_points.rs,,,,否
